default,amount,grade,years,ownership,income,age
0,10000,1,10.0,0,32004.0,22
1,14000,1,8.0,3,35000.0,28
0,12000,1,2.0,3,47700.0,31
1,5400,3,1.0,3,32000.0,22
1,5900,0,1.0,2,15600.0,33
1,1100,2,5.0,0,36000.0,30
1,2000,1,2.0,3,10000.0,24
0,12000,0,6.0,3,48672.0,23
0,15000,1,4.0,3,84000.0,26
0,5000,0,11.0,2,85800.0,34
0,10000,2,3.0,3,62000.0,24
1,6000,1,1.0,0,34980.0,25
0,5000,1,8.0,0,80000.0,46
0,12000,1,1.0,2,61000.0,23
1,3500,1,9.0,3,51996.0,24
1,6000,0,8.0,0,92004.0,25
0,5600,0,20.0,3,55692.0,21
1,5000,3,7.0,3,40000.0,35
0,13375,0,1.0,0,59000.0,22
0,25000,0,18.0,3,65800.0,31
0,20000,1,7.0,0,120000.0,29
0,15000,0,4.0,3,74872.0,29
1,2000,1,26.0,0,52645.0,25
0,6000,0,3.0,3,39184.0,28
0,5400,2,20.0,0,100000.0,23
1,9000,2,5.0,0,69000.0,28
1,10000,1,5.0,3,60000.0,24
0,10000,3,4.0,3,34000.0,28
0,7000,3,4.0,3,72700.0,25
0,9600,1,10.0,3,94837.0,24
1,25000,1,2.0,0,250000.0,26
1,20000,3,3.0,3,62000.0,24
0,9000,2,7.0,0,50000.0,21
1,22000,5,2.0,0,93600.0,25
1,5775,0,1.0,3,36900.0,23
1,13500,1,9.0,0,78000.0,24
1,2000,1,1.0,3,48000.0,24
0,14400,2,1.0,3,80000.0,23
0,14000,1,0.0,3,37000.0,26
0,7000,3,5.0,3,35000.0,21
1,5000,0,3.0,2,32500.0,27
0,12000,0,19.0,0,145000.0,22
1,3800,2,3.0,0,68500.0,32
1,12000,1,5.0,0,108000.0,32
0,10000,0,3.0,0,62000.0,33
1,5000,2,6.0,3,41000.0,21
0,6000,0,2.0,0,47000.0,27
1,4600,3,5.0,3,58000.0,23
1,2000,0,24.0,3,24000.0,41
0,14100,0,6.0,3,83203.68,30
1,6200,3,61.0,0,75000.0,26
0,5000,3,3.0,0,165000.0,30
0,2100,0,6.0,0,61000.0,22
1,13200,3,6.08633190118,0,49800.0,30
1,25000,6,12.0,3,203000.0,29
0,10000,2,0.0,3,30000.0,27
1,25000,1,3.0,3,72000.0,26
0,10500,1,6.0,0,63400.0,22
0,6000,0,27.0,3,55000.0,26
0,6000,2,7.0,3,21812.0,25
1,1000,2,4.0,3,60000.0,55
0,25000,3,21.0,0,180000.0,24
0,9450,3,16.0,3,29000.0,32
0,11000,0,7.0,0,59000.0,37
0,15000,1,3.0,3,73500.0,23
0,15000,0,9.0,0,175000.0,44
0,6500,1,6.08633190118,0,85000.0,34
1,16800,3,6.0,3,75000.0,22
0,7750,0,15.0,0,65000.0,31
0,4000,1,2.0,3,29120.0,27
0,2300,1,0.0,3,25920.0,25
1,10000,0,9.0,0,60000.0,24
0,11200,3,11.0,2,51300.0,22
0,2500,1,5.0,3,45000.0,25
0,11000,3,3.0,3,47500.0,28
1,9600,1,4.0,0,80004.0,41
1,4800,2,7.0,3,38400.0,22
1,13000,0,3.0,3,54000.0,22
0,10800,1,4.0,3,82600.0,27
1,4600,3,3.0,3,58800.0,26
1,12000,2,0.0,0,35280.0,22
0,17800,4,1.0,3,85000.0,23
0,20000,2,13.0,0,50000.0,25
0,10000,0,2.0,0,105000.0,34
1,6300,2,6.0,0,60000.0,24
1,10000,3,3.0,3,75000.0,25
1,4200,1,1.0,3,42499.0,25
0,10000,3,2.0,3,48000.0,25
1,12000,3,4.0,3,30000.0,30
0,10800,0,21.0,0,110000.0,24
0,6000,2,19.0,0,72000.0,24
0,12000,4,3.0,3,125004.0,33
0,5650,3,0.0,2,20000.0,25
1,8000,2,3.0,0,38213.0,22
0,1000,3,11.0,0,32000.0,27
0,8000,0,4.0,3,54996.0,30
0,7000,1,3.0,3,45000.0,34
1,12000,1,7.0,0,26000.0,28
0,9500,1,1.0,0,38400.0,35
1,14000,1,0.0,0,75000.0,30
0,24000,4,2.0,0,79996.0,23
0,4000,0,5.0,3,70000.0,21
1,19975,2,9.0,3,125000.0,28
1,24000,1,30.0,0,160000.0,61
1,23500,3,6.08633190118,0,64800.0,22
0,15000,2,10.0,3,34800.0,22
0,5000,2,6.0,3,45600.0,25
0,5000,0,3.0,3,24000.0,25
1,10400,1,5.0,2,45000.0,25
0,3000,2,6.08633190118,3,38400.0,30
0,7500,2,3.0,0,90000.0,34
1,2400,3,2.0,3,13440.0,36
0,9000,2,4.0,2,81000.0,27
1,24000,5,13.0,0,105900.0,31
0,4000,2,0.0,3,34200.0,32
0,10000,1,0.0,3,38000.0,27
0,1600,6,4.0,3,42000.0,29
0,6000,0,4.0,0,112445.0,32
1,9000,2,2.0,3,18500.0,23
0,12000,1,2.0,3,33600.0,21
0,8000,0,4.0,3,72000.0,49
1,8000,3,2.0,3,42000.0,24
0,1800,2,3.0,3,36129.0,34
1,4500,2,15.0,3,55000.0,28
0,12250,1,4.0,0,47540.0,22
1,1500,0,1.0,0,60000.0,24
0,7000,1,12.0,3,50000.0,24
0,8000,0,7.0,3,48000.0,41
1,12875,1,3.0,3,37760.0,22
0,20000,3,12.0,0,260000.0,37
1,5000,3,0.0,3,65000.0,25
1,17000,0,1.0,0,58000.0,52
0,6000,1,1.0,3,75000.0,23
1,7000,4,6.0,0,80000.0,28
0,1050,0,6.0,0,61000.0,27
1,13750,4,23.0,0,38644.0,22
0,10000,0,4.0,0,57664.0,23
1,2000,2,0.0,3,33000.0,21
0,2500,1,1.0,2,18000.0,21
0,2000,3,4.0,3,39000.0,27
0,24000,0,4.0,3,48000.0,26
1,25000,2,5.0,0,73476.0,23
0,10000,0,6.0,0,40000.0,24
1,1500,2,0.0,3,42000.0,22
1,11500,1,0.0,0,28800.0,22
1,1500,1,7.0,3,45000.0,39
1,7500,1,9.0,0,78955.0,22
0,4800,1,26.0,3,69000.0,29
0,8000,0,1.0,2,68000.0,31
0,10000,0,3.0,0,125000.0,25
1,7000,1,1.0,0,93000.0,46
0,32000,0,2.0,3,120000.0,25
0,2500,2,0.0,3,20640.0,22
1,6000,1,5.0,0,126000.0,45
1,5000,1,22.0,3,57000.0,26
0,2000,2,11.0,3,26500.0,37
0,10000,0,7.0,0,75000.0,26
0,4000,2,3.0,0,115000.0,29
1,10000,3,6.0,0,160000.0,36
0,8000,1,0.0,3,26000.0,22
1,8400,2,4.0,0,100000.0,23
1,10000,4,5.0,0,60000.0,23
0,22750,0,0.0,3,49404.0,35
0,4000,2,7.0,0,80000.0,23
1,4200,2,18.0,3,61512.0,27
1,12000,2,18.0,3,32000.0,24
0,33000,1,0.0,0,70000.0,27
1,2500,3,0.0,2,36000.0,28
0,11500,0,6.0,0,55000.0,26
0,5000,2,3.0,3,65000.0,23
1,4000,0,12.0,3,50582.0,22
0,3500,0,2.0,3,30720.0,29
0,15000,0,1.0,3,147000.0,34
1,14100,2,7.0,3,52000.0,22
0,20000,2,9.0,0,85000.0,23
1,3200,0,1.0,0,57000.0,22
1,900,2,3.0,3,12000.0,32
0,3000,0,2.0,3,38748.0,25
1,4800,4,3.0,3,15000.0,24
1,18000,2,4.0,3,132725.38,27
0,12000,1,5.0,0,112000.0,23
1,7200,1,4.0,3,45000.0,27
0,6000,4,2.0,3,36000.0,33
0,5000,1,8.0,3,74500.0,26
0,8000,1,3.0,3,36000.0,30
1,7000,2,5.0,0,74400.0,36
1,5500,2,1.0,0,24900.0,22
0,14000,1,0.0,3,42000.0,27
1,15600,3,21.0,0,87000.0,49
0,1925,1,0.0,3,30000.0,23
0,18000,1,5.0,3,84000.0,25
1,10000,0,4.0,0,61000.0,26
1,7500,2,1.0,3,40000.0,30
0,2000,0,0.0,0,67992.0,29
0,19550,3,0.0,3,130000.0,22
0,2500,0,3.0,2,26000.0,28
0,5000,0,1.0,0,100000.0,24
1,6000,1,2.0,0,44300.0,27
1,6500,1,6.0,3,21000.0,21
0,4000,0,6.08633190118,2,33600.0,23
0,8000,0,6.0,0,125000.0,25
1,15450,2,7.0,3,120000.0,26
1,6000,3,2.0,0,56160.0,24
1,10000,1,12.0,0,36252.0,25
0,4800,0,1.0,3,27000.0,21
0,10000,2,13.0,0,75689.0,30
0,5000,0,2.0,0,80000.0,25
0,5000,1,24.0,0,93600.0,22
0,8000,0,18.0,0,65000.0,26
1,16000,1,14.0,0,61000.0,32
0,6000,3,0.0,3,71074.0,23
0,5000,0,6.0,3,60000.0,23
0,9000,3,3.0,3,70000.0,29
0,23000,2,0.0,0,120000.0,23
0,14000,2,31.0,3,78700.0,22
1,5000,0,4.0,2,18000.0,27
0,5500,2,1.0,0,9600.0,25
0,7000,2,3.0,3,36500.0,27
0,12000,0,2.0,3,64575.0,24
0,15000,1,4.0,0,67000.0,39
0,2800,1,7.0,3,24000.0,32
0,10800,2,2.0,3,55000.0,25
0,4800,2,5.0,3,39996.0,26
0,14500,0,11.0,0,64000.0,35
0,9600,1,2.0,0,55000.0,27
1,25000,2,11.0,0,73000.0,25
0,10000,1,1.0,2,55000.0,22
0,18000,0,1.0,0,48000.0,38
1,3000,3,5.0,3,60000.0,40
0,8400,1,7.0,0,28800.0,23
1,4000,1,2.0,3,39000.0,36
0,8000,1,3.0,0,54000.0,24
0,8000,1,25.0,0,109200.0,28
0,21000,1,17.0,3,110000.0,39
1,5000,1,6.08633190118,3,38000.0,23
0,8000,2,5.0,3,55000.0,31
0,3600,1,0.0,3,110000.0,30
0,12000,4,3.0,3,50000.0,24
0,6000,2,0.0,3,33280.0,21
1,2300,2,4.0,3,68000.0,29
0,4075,0,0.0,3,19200.0,31
1,12375,1,2.0,0,39552.0,30
0,6350,0,0.0,0,36000.0,26
0,14500,0,11.0,3,100000.0,26
0,4200,2,6.0,2,48000.0,35
0,20000,3,27.0,0,121178.0,28
0,6925,1,6.0,3,25000.0,21
1,1000,3,0.0,2,17280.0,38
1,2000,1,4.0,0,55000.0,21
0,10000,1,16.0,0,32000.0,23
0,12000,0,4.0,0,70000.0,31
0,16750,1,4.0,3,33000.0,33
0,4000,2,4.0,2,15000.0,23
0,1050,0,6.0,0,61000.0,27
0,4000,0,17.0,2,25200.0,32
1,2500,1,2.0,2,20004.0,21
0,14000,3,4.0,3,46800.0,39
1,10000,2,0.0,3,44469.0,35
1,6000,1,2.0,3,46680.0,22
1,1000,3,20.0,3,48000.0,21
0,8000,3,3.0,3,60000.0,24
0,13000,0,0.0,3,90000.0,24
0,20000,2,3.0,0,160000.0,25
0,16000,1,13.0,3,90000.0,27
1,3000,1,0.0,3,13200.0,28
0,7125,0,1.0,0,36000.0,39
1,2500,1,7.0,2,15360.0,22
0,2050,0,16.0,2,50000.0,23
0,7600,0,13.0,0,100000.0,27
0,4800,0,6.0,0,35000.0,38
1,1600,2,3.0,0,28500.0,27
1,4800,3,4.0,3,63996.0,31
1,7475,0,3.0,2,53000.0,28
0,11000,1,8.0,3,45000.0,22
0,12000,1,1.0,3,60000.0,24
0,15600,1,0.0,3,69000.0,36
1,6000,2,0.0,3,35000.0,25
0,10000,1,2.0,3,165000.0,24
0,4500,0,0.0,3,36000.0,21
1,5000,2,2.0,2,32500.0,23
0,7200,1,2.0,0,105000.0,26
0,10000,2,5.0,0,39216.0,23
0,6000,1,7.0,0,39996.0,22
1,15000,2,31.0,3,75000.0,23
1,8000,1,4.0,0,62000.0,29
1,2500,1,4.0,3,70000.0,24
1,1500,2,3.0,3,40980.0,22
1,24000,3,5.0,0,135000.0,26
1,4500,1,21.0,3,62000.0,23
1,24175,1,9.0,0,95000.0,23
1,35000,2,16.0,3,70000.0,24
0,8000,1,14.0,0,42000.0,23
1,10000,1,4.0,3,36000.0,27
0,4200,0,5.0,3,30000.0,34
0,11200,3,5.0,3,42000.0,21
0,5000,1,3.0,0,54996.0,22
0,7300,0,5.0,3,50000.0,27
0,10000,1,7.0,2,60000.0,24
1,7000,2,2.0,3,14400.0,29
0,12000,0,3.0,0,72984.0,24
0,8000,2,16.0,0,60000.0,21
1,10000,2,0.0,3,60000.0,25
1,10000,4,1.0,0,60000.0,36
1,10000,0,8.0,0,96000.0,28
1,3200,3,3.0,3,18996.0,22
1,5000,3,4.0,2,33000.0,21
1,6000,2,2.0,3,48000.0,23
0,3600,0,9.0,3,32000.0,24
1,9700,1,1.0,3,56400.0,27
1,2050,2,23.0,0,33000.0,24
0,5000,2,0.0,3,48504.0,29
0,7500,0,5.0,3,38000.0,22
1,15000,2,8.0,3,31680.0,21
0,8000,1,0.0,3,27000.0,26
0,28000,3,8.0,2,140000.0,27
1,12000,0,2.0,3,30000.0,34
1,10000,0,23.0,3,70000.0,23
0,16525,2,9.0,3,70000.0,26
0,2400,2,4.0,3,67000.0,26
0,3000,1,10.0,3,58800.0,33
0,4000,0,4.0,0,115000.0,25
1,4500,0,8.0,0,28000.0,26
0,2000,1,1.0,3,80000.0,23
0,9000,1,3.0,3,74000.0,26
0,17000,1,11.0,3,96000.0,22
1,8000,3,4.0,3,62400.0,24
0,1400,0,6.08633190118,2,8628.0,23
1,2400,2,5.0,3,99999.0,25
1,12800,3,2.0,0,141996.0,27
0,3000,0,11.0,3,67000.0,32
1,10800,0,38.0,0,51000.0,33
0,3000,0,6.08633190118,0,16908.0,36
0,4000,1,1.0,3,78000.0,32
0,7400,3,2.0,0,71000.0,22
0,2200,1,8.0,3,70000.0,27
0,17000,2,5.0,3,37000.0,35
1,7000,1,7.0,3,44400.0,27
0,5000,0,1.0,3,52000.0,23
1,6000,1,3.0,3,39000.0,22
0,12000,3,16.0,0,62208.0,22
0,24000,4,0.0,3,53000.0,27
0,4800,1,19.0,0,108000.0,25
1,1600,2,2.0,2,57068.0,26
0,4200,1,2.0,3,31500.0,31
0,4000,2,0.0,3,48000.0,33
1,2400,2,2.0,3,30720.0,23
0,7500,3,15.0,0,105000.0,43
0,6000,1,0.0,3,90000.0,30
1,25000,3,1.0,0,101000.0,24
0,4800,2,0.0,3,65000.0,26
1,6400,3,5.0,3,75000.0,35
1,10000,3,6.0,0,75000.0,22
1,6000,1,1.0,3,48000.0,40
1,6500,2,1.0,3,40000.0,22
0,4500,2,2.0,3,39996.0,22
0,4800,0,6.08633190118,3,89000.0,26
1,15000,4,11.0,0,170000.0,33
1,7500,1,0.0,3,40000.0,32
0,22000,1,5.0,0,100800.0,30
1,12000,1,3.0,3,75000.0,27
1,18000,6,16.0,0,300000.0,28
0,4000,0,1.0,0,15456.0,31
1,22000,1,0.0,0,72500.0,23
0,4500,0,4.0,3,53000.0,40
0,25000,3,4.0,3,55000.0,23
1,5000,0,1.0,3,40000.0,45
0,5200,1,2.0,0,36000.0,24
1,9800,2,7.0,3,50000.0,23
0,25000,4,0.0,0,150000.0,28
0,8650,0,13.0,0,60000.0,28
0,1500,1,2.0,3,15600.0,21
1,6000,0,4.0,0,71000.0,25
1,10000,1,4.0,3,42000.0,22
1,13000,2,12.0,3,24000.0,21
0,2000,0,0.0,3,12000.0,23
0,11700,0,6.08633190118,0,77705.88,23
1,3000,0,0.0,3,28800.0,27
1,6400,3,19.0,0,50000.0,22
0,7000,2,0.0,3,50000.0,30
0,7000,0,1.0,0,65000.0,23
0,1925,1,7.0,2,69600.0,23
1,1500,0,2.0,3,24840.0,28
0,4500,0,2.0,3,44004.0,26
1,24250,3,0.0,3,120000.0,29
0,2350,0,7.0,3,40080.0,37
1,5325,1,6.08633190118,3,22000.0,21
0,30000,0,0.0,3,131000.0,21
1,6400,2,9.0,3,70775.0,28
1,7000,0,13.0,0,45000.0,22
1,18000,1,0.0,3,42480.0,43
0,8000,4,0.0,0,50000.0,25
0,7500,1,6.0,3,46800.0,26
1,6000,4,3.0,3,47500.0,23
1,4000,2,2.0,3,18000.0,24
1,2800,5,1.0,3,23000.0,22
1,21600,3,2.0,0,58600.0,27
1,9000,4,4.0,3,42000.0,35
0,8000,1,9.0,0,48000.0,26
0,9600,1,5.0,3,35000.0,25
0,18000,3,0.0,3,56000.0,52
1,11000,1,3.0,0,42000.0,26
0,2000,0,2.0,3,37000.0,24
0,8000,1,0.0,3,95000.0,25
0,12000,1,1.0,3,61000.0,27
0,9000,0,7.0,0,48800.0,24
0,11000,0,4.0,3,35000.0,29
0,2400,1,0.0,0,30000.0,21
1,12600,1,27.0,2,38000.0,30
0,9600,0,3.0,2,39000.0,27
0,18000,1,0.0,0,57408.0,30
1,10000,2,34.0,3,90000.0,31
0,14150,1,3.0,3,40000.0,29
0,12000,0,22.0,0,240000.0,29
1,1500,3,2.0,3,38004.0,41
1,15000,1,1.0,3,90000.0,26
1,12000,1,5.0,0,85248.0,25
0,10000,1,2.0,0,67145.0,22
1,15000,0,7.0,3,95600.0,23
0,6000,0,11.0,0,52000.0,28
1,7000,0,2.0,3,45000.0,22
0,14000,0,3.0,3,30000.0,34
0,9600,0,7.0,3,65450.0,24
1,3000,2,6.08633190118,3,36132.0,38
0,3800,2,0.0,3,19200.0,25
1,1000,0,4.0,0,30000.0,23
1,7500,3,2.0,3,91500.0,24
0,4500,1,0.0,3,45000.0,23
0,4000,2,20.0,2,36000.0,30
0,18000,0,6.0,3,80000.0,21
1,20000,1,6.0,3,60000.0,25
1,1600,3,13.0,3,39000.0,27
0,4075,0,0.0,3,19200.0,31
1,7500,3,7.0,0,56000.0,23
0,15000,1,19.0,3,42000.0,23
0,24000,3,7.0,0,98000.0,25
0,1950,1,6.08633190118,2,12000.0,47
0,10000,0,6.08633190118,0,61000.0,23
0,1000,1,3.0,2,16800.0,51
1,8400,2,6.0,0,152004.0,35
0,10000,0,0.0,0,135000.0,33
1,6600,0,0.0,2,32004.0,22
1,6000,0,5.0,3,35000.0,23
0,3000,0,2.0,3,40000.0,27
1,4800,1,6.0,3,44100.0,28
0,20000,0,5.0,0,189000.0,33
1,5500,1,20.0,3,57600.0,26
1,10000,0,5.0,0,108000.0,25
0,3000,0,9.0,3,84000.0,25
0,14500,0,14.0,2,44000.0,24
1,9600,2,7.0,3,37800.0,23
1,7150,3,17.0,3,64500.0,41
1,10000,0,1.0,0,57000.0,27
0,17000,3,3.0,3,92000.0,31
0,4500,0,1.0,0,57000.0,30
1,22350,4,1.0,2,135000.0,27
1,10000,1,7.0,3,30000.0,28
1,5000,1,9.0,0,65000.0,21
0,7200,3,2.0,3,85000.0,25
0,8000,1,5.0,3,50000.0,37
1,11400,4,4.0,0,55000.0,23
1,10000,0,1.0,3,25000.0,21
1,5050,2,5.0,0,62000.0,28
0,8800,0,3.0,3,60000.0,22
1,15000,2,0.0,0,73392.0,34
0,20000,1,9.0,0,85000.0,29
0,16000,2,2.0,3,45000.0,41
1,10000,6,2.0,0,108000.0,26
1,10000,2,7.0,2,30000.0,24
0,6000,3,0.0,3,26880.0,29
1,10000,1,0.0,0,18000.0,24
0,10000,0,0.0,3,70000.0,46
0,17000,3,0.0,3,90000.0,26
1,25000,3,2.0,3,50000.0,24
0,6000,1,6.08633190118,0,65000.0,26
1,8000,3,14.0,0,40000.0,38
0,7200,0,2.0,0,87000.0,27
0,8000,0,5.0,0,54000.0,24
1,2800,3,2.0,3,43200.0,25
0,3000,0,19.0,0,42000.0,22
0,8000,1,4.0,0,84996.0,30
0,20000,6,4.0,3,65000.0,29
0,4000,1,2.0,3,80000.0,25
1,12000,0,3.0,3,57000.0,24
0,25000,5,1.0,0,120000.0,24
0,16000,0,5.0,3,80000.0,27
0,8500,1,4.0,3,25000.0,25
1,15000,3,19.0,3,37000.0,22
0,5600,2,8.0,3,75797.0,31
1,8000,2,2.0,3,61700.0,26
0,27575,1,1.0,0,54000.0,27
1,12800,3,28.0,3,48200.0,22
1,8000,3,5.0,0,65000.0,29
1,1000,1,6.08633190118,3,10000.0,23
0,6400,2,2.0,3,35000.0,23
1,20000,4,6.0,0,145000.0,28
1,15000,2,0.0,3,81000.0,23
0,25000,3,2.0,3,52000.0,26
1,10875,2,9.0,3,41500.0,22
0,12000,0,4.0,3,75000.0,23
1,10000,1,14.0,2,78996.0,22
0,3000,1,8.0,3,32796.0,30
1,12000,3,4.0,0,60000.0,25
0,6000,0,6.08633190118,2,37404.0,27
1,5000,2,6.0,0,60000.0,41
1,10000,3,15.0,0,45000.0,29
1,20000,3,1.0,3,48000.0,22
1,6000,1,2.0,0,42000.0,26
0,2000,2,2.0,3,41000.0,27
0,4000,0,5.0,0,19200.0,26
0,10000,1,1.0,0,51000.0,32
0,18000,3,1.0,3,180000.0,30
0,8500,1,4.0,0,81400.0,22
0,9975,3,2.0,3,79000.0,40
0,2000,0,1.0,2,24000.0,32
0,12000,3,29.0,3,54000.0,29
1,7500,3,6.0,0,85000.0,34
0,5000,3,4.0,3,57996.0,24
1,15000,1,1.0,3,30000.0,31
0,1500,0,11.0,0,67386.0,28
0,14500,2,9.0,0,38000.0,34
0,18000,1,20.0,0,170000.0,29
1,7500,1,1.0,3,60000.0,22
1,10000,1,3.0,3,24000.0,24
1,8000,3,3.0,3,48000.0,23
0,12000,2,0.0,3,45000.0,29
0,7000,2,7.0,0,60000.0,22
0,8850,1,4.0,0,120000.0,35
0,25000,4,2.0,3,170000.0,40
0,20000,1,12.0,3,65000.0,39
0,20000,0,2.0,0,125000.0,33
0,15000,1,9.0,3,32000.0,22
0,4000,0,6.0,3,28000.0,25
0,11500,0,9.0,0,75000.0,24
0,4050,0,5.0,3,55000.0,34
0,12000,0,9.0,0,97000.0,28
0,8000,1,2.0,2,24996.0,29
0,5000,0,1.0,3,115000.0,24
0,14125,0,6.08633190118,2,30000.0,23
0,10000,3,2.0,3,30400.0,39
0,1000,1,23.0,0,87000.0,26
0,4500,1,8.0,3,38000.0,24
1,3500,1,6.08633190118,3,36000.0,23
0,4600,1,1.0,3,40000.0,23
1,10000,4,0.0,3,75000.0,24
0,8000,2,12.0,3,44000.0,26
0,7200,1,9.0,3,85000.0,32
1,4000,2,4.0,2,24000.0,27
1,26400,3,4.0,0,68000.0,21
1,7000,2,7.0,2,130000.0,29
1,12000,2,5.0,3,75000.0,23
1,1300,2,56.0,3,70000.0,24
0,17000,2,3.0,3,80000.0,28
0,5000,2,0.0,3,54860.0,23
1,4000,1,4.0,3,58800.0,26
0,12000,1,17.0,0,91234.2,22
1,25000,3,1.0,0,100000.0,21
0,10000,2,1.0,0,44000.0,25
0,6000,1,2.0,3,48000.0,25
1,10000,3,9.0,0,62920.0,22
0,5000,3,0.0,2,20800.0,24
1,25000,5,5.0,0,265000.0,25
0,12000,4,17.0,3,104000.0,25
0,12000,0,3.0,3,95000.0,24
0,12000,1,2.0,3,30000.0,44
0,5400,2,1.0,3,50725.0,34
1,20000,5,7.0,3,62000.0,28
0,2000,0,6.08633190118,2,16000.0,23
0,9000,1,0.0,3,52000.0,23
1,4750,4,0.0,0,31200.0,25
1,20000,2,12.0,0,140000.0,39
0,8500,0,3.0,0,78000.0,24
1,4000,3,5.0,0,25344.0,24
0,3000,2,0.0,3,36000.0,24
1,5000,1,4.0,3,36000.0,26
0,13250,1,4.0,3,35000.0,28
0,20000,1,9.0,3,52559.0,24
1,19600,3,13.0,0,67499.0,24
1,1000,1,6.0,3,28000.0,22
1,10000,1,1.0,3,50000.0,31
1,25000,1,28.0,3,55000.0,27
0,20000,0,4.0,3,66000.0,32
0,10000,0,14.0,3,28000.0,22
1,5000,3,9.0,3,21000.0,47
0,5000,1,0.0,3,38000.0,29
1,4200,1,6.08633190118,2,21600.0,26
1,12000,1,2.0,0,180000.0,26
1,7100,0,2.0,3,50400.0,23
1,10000,3,2.0,3,35400.0,31
0,12000,0,0.0,0,64000.0,24
1,1600,2,0.0,3,38400.0,24
1,3000,4,0.0,3,10800.0,36
0,7200,2,9.0,0,60000.0,26
1,20500,2,2.0,3,38400.0,31
1,8000,0,1.0,0,65004.0,28
1,32000,2,7.0,0,60000.0,33
0,5000,1,6.08633190118,0,284400.0,31
0,6500,1,0.0,3,30600.0,41
0,22000,2,5.0,0,60000.0,23
0,6000,0,11.0,3,41124.0,23
1,2000,2,1.0,0,79000.0,22
0,12500,1,4.0,0,125000.0,31
0,8400,0,1.0,0,62000.0,26
0,15000,2,18.0,3,60000.0,35
0,13750,2,0.0,0,160000.0,26
0,17200,3,6.0,3,90000.0,27
0,5000,1,1.0,3,40000.0,27
0,8500,3,3.0,2,50000.0,28
1,7500,3,2.0,3,28128.0,25
0,7500,0,47.0,0,83000.0,29
0,3000,0,4.0,3,49000.0,38
1,6200,6,1.0,3,19200.0,23
0,10000,1,4.0,0,29004.0,46
0,7000,1,2.0,3,27600.0,25
1,15000,1,0.0,2,70000.0,24
